customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,ARPU,ServiceCount,EngagementScore,ContractRisk,SupportDependency,TenureGroup,Segment,SegmentName
7590-VHVEG,Female,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,0,29.85,29.85,1,0.0847705914870094,2,1,New Customer,0,Budget Basic
5575-GNVDE,Male,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,0,1936.3000000000002,55.5735294117647,3,0.41076561636263126,1,1,Regular Customer,2,At Risk Newcomers
3668-QPYBK,Male,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1,107.7,54.075,3,0.2523355444997236,2,1,New Customer,2,At Risk Newcomers
7795-CFOCW,Male,0,0,0,45,0,0,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,0,1903.4999999999998,40.90555555555556,3,0.4131011608623549,1,2,Loyal Customer,0,Budget Basic
9237-HQITU,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1,141.4,75.825,1,0.22488944168048644,2,0,New Customer,2,At Risk Newcomers
9305-CDSKC,Female,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1,797.2,102.5625,5,0.5153537866224434,2,1,New Customer,2,At Risk Newcomers
1452-KIOVK,Male,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,1960.1999999999998,88.60909090909091,4,0.503510226644555,2,1,Regular Customer,2,At Risk Newcomers
6713-OKOMC,Female,0,0,0,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,0,297.5,30.189999999999998,1,0.12610558319513543,2,0,New Customer,0,Budget Basic
7892-POOKP,Female,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1,2934.4,108.78750000000001,6,0.666694306246545,2,2,Regular Customer,3,Growing Engaged
6388-TABGU,Male,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,0,3481.2999999999997,56.25725806451613,3,0.5377418463239358,1,1,Very Loyal Customer,3,Growing Engaged
9763-GRSKD,Male,0,1,1,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,0,649.35,45.18846153846154,2,0.24865948037589827,2,0,Regular Customer,2,At Risk Newcomers
7469-LKBCI,Male,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,0,303.2,20.425,1,0.11806246545052514,0,0,Regular Customer,0,Budget Basic
8091-TTVAX,Male,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0,5820.299999999999,97.95,5,0.7491569928137092,1,1,Loyal Customer,1,Loyal High Value
0280-XJGEX,Male,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,5081.3,102.78163265306122,6,0.7602681039248202,2,2,Loyal Customer,1,Loyal High Value
5129-JLPIS,Male,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0,2637.5,107.44200000000001,6,0.6551271420674406,2,2,Regular Customer,3,Growing Engaged
3655-SNQYZ,Female,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0,7814.25,114.42246376811593,8,0.9678689883913765,0,3,Very Loyal Customer,1,Loyal High Value
8191-XWSZG,Female,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,0,1073.8,19.672115384615385,1,0.2903676064123825,1,0,Loyal Customer,0,Budget Basic
9959-WOFKT,Male,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0,7575.7,103.97535211267606,6,0.8720702045328911,0,1,Very Loyal Customer,1,Loyal High Value
4190-MFLUW,Female,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1,552.0,52.835,3,0.29385019347705915,2,2,New Customer,2,At Risk Newcomers
4183-MYFRB,Female,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0,1891.05,88.70952380952382,4,0.5020315091210613,2,2,Regular Customer,2,At Risk Newcomers
8779-QRDMV,Male,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,39.65,2,0.15894140409065782,2,1,New Customer,0,Budget Basic
1680-VDCWW,Male,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0,237.60000000000002,16.854166666666668,1,0.10236318407960199,1,0,New Customer,0,Budget Basic
1066-JKSGK,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,20.15,1,0.05259812050856826,2,0,New Customer,0,Budget Basic
3638-WEABW,Female,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0,3474.2,60.432758620689654,4,0.5733278054173576,0,2,Loyal Customer,3,Growing Engaged
6322-HRPFA,Male,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,2920.4,60.61836734693878,4,0.530666113875069,2,2,Loyal Customer,3,Growing Engaged
6865-JZNKO,Female,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,1659.0,51.019999999999996,3,0.3867744610281923,2,1,Regular Customer,2,At Risk Newcomers
6467-CHFZW,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,4669.45,101.04574468085106,5,0.694914317302377,2,1,Loyal Customer,3,Growing Engaged
8665-UTDHZ,Male,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,30.2,1,0.0859314538419016,2,1,New Customer,0,Budget Basic
5248-YGIJN,Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0,6498.0,88.46458333333334,8,0.9054726368159204,0,3,Very Loyal Customer,1,Loyal High Value
8773-HHUOZ,Female,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,1099.9,64.3,3,0.3577667219458265,2,0,Regular Customer,2,At Risk Newcomers
3841-NFECX,Female,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0,6840.849999999999,95.30915492957746,6,0.8377418463239358,0,3,Very Loyal Customer,1,Loyal High Value
4929-XIHVW,Male,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,191.0,90.825,4,0.43214483139856275,2,1,New Customer,2,At Risk Newcomers
6827-IEAUQ,Female,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0,1786.0500000000002,69.42407407407407,5,0.4922056384742952,1,3,Regular Customer,3,Growing Engaged
7310-EGVHZ,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,20.2,20.2,1,0.05276395798783858,2,0,New Customer,0,Budget Basic
3413-BMNZE,Male,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,45.25,45.25,1,0.13584853510226644,2,0,New Customer,0,Budget Basic
6234-RAAPL,Female,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0,7192.8,100.71805555555555,6,0.8541459369817579,0,2,Very Loyal Customer,1,Loyal High Value
6047-YHPVI,Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,348.5,63.379999999999995,1,0.23546158098396905,2,0,New Customer,2,At Risk Newcomers
6572-ADKRS,Female,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,3440.7999999999997,77.13695652173914,2,0.4838584853510226,2,1,Loyal Customer,3,Growing Engaged
5380-WJKOV,Male,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,3615.8999999999996,104.38970588235294,6,0.6996130458817026,2,2,Regular Customer,3,Growing Engaged
8168-UQWWF,Female,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,1076.35,100.4909090909091,5,0.5232725262576009,2,1,New Customer,2,At Risk Newcomers
